Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100317,Male,No,0,Not Graduate,No,9215,4006,185,180,1.0,Semiurban,Y
LP100318,Male,No,3+,Not Graduate,Yes,8803,365,184,360,1.0,Urban,Y
LP100319,Female,Yes,1,Graduate,Yes,12446,2816,327,360,0.0,Rural,N
LP100320,Male,Yes,3+,Not Graduate,No,10883,7222,170,360,1.0,Semiurban,Y
LP100321,Male,Yes,0,Not Graduate,Yes,4238,7963,158,240,1.0,Semiurban,Y
LP100322,Male,No,1,Graduate,No,6738,7461,84,180,1.0,Semiurban,Y
LP100323,Female,No,3+,Graduate,No,3343,3395,126,240,1.0,Rural,Y
LP100324,Male,Yes,0,Not Graduate,No,8232,2163,246,360,1.0,Semiurban,Y
LP100325,Male,Yes,2,Not Graduate,Yes,11629,4986,255,180,1.0,Semiurban,Y
LP100326,Male,Yes,3+,Not Graduate,No,1831,2767,205,300,1.0,Semiurban,Y
LP100327,Male,Yes,1,Not Graduate,No,14181,6765,214,300,1.0,Rural,Y
LP100328,Male,Yes,3+,Graduate,No,13639,3968,314,300,0.0,Rural,N
LP100329,Male,Yes,2,Not Graduate,Yes,14287,6973,318,180,1.0,Urban,Y
LP100330,Male,Yes,0,Not Graduate,Yes,7404,5772,151,300,1.0,Semiurban,Y
LP100331,Female,Yes,0,Graduate,No,9508,4866,278,240,0.0,Semiurban,N
LP100332,Female,No,1,Not Graduate,Yes,6170,224,247,180,1.0,Rural,Y
LP100333,Male,Yes,1,Graduate,No,12175,3354,312,180,0.0,Rural,N
LP100334,Male,No,1,Graduate,Yes,5166,2067,206,300,1.0,Semiurban,Y
LP100335,Female,No,2,Graduate,No,6450,5547,316,360,1.0,Urban,Y
LP100336,Female,No,2,Graduate,No,2545,2754,191,300,0.0,Semiurban,N
LP100337,Female,Yes,1,Graduate,Yes,14696,7023,256,300,1.0,Rural,Y
LP100338,Male,No,2,Not Graduate,No,8128,3180,68,240,1.0,Rural,Y
LP100339,Male,No,2,Not Graduate,Yes,12274,7180,335,240,1.0,Semiurban,Y
LP100340,Male,No,1,Not Graduate,Yes,5141,2910,164,300,1.0,Semiurban,Y
LP100341,Female,No,2,Not Graduate,Yes,9209,439,348,180,1.0,Urban,Y
LP100342,Male,No,2,Not Graduate,Yes,3970,1125,152,300,1.0,Rural,Y
LP100343,Female,Yes,2,Graduate,Yes,9488,2724,140,300,1.0,Urban,Y
LP100344,Female,No,1,Graduate,Yes,9521,6432,95,240,1.0,Rural,Y
LP100345,Female,No,3+,Not Graduate,No,1576,309,323,240,1.0,Urban,Y
LP100346,Female,Yes,0,Graduate,Yes,5207,5681,226,300,1.0,Semiurban,Y
LP100347,Female,Yes,0,Graduate,No,6264,3734,316,300,1.0,Rural,Y
LP100348,Male,No,3+,Not Graduate,Yes,4201,7766,256,180,1.0,Rural,Y
LP100349,Male,Yes,0,Graduate,Yes,7506,5825,69,360,0.0,Semiurban,N
LP100350,Male,Yes,0,Graduate,Yes,12800,948,263,360,1.0,Rural,Y
LP100351,Female,No,1,Graduate,Yes,6433,3447,101,300,1.0,Rural,Y
LP100352,Male,No,0,Graduate,No,3367,6428,104,360,1.0,Urban,Y
LP100353,Female,Yes,2,Not Graduate,No,4127,322,330,360,0.0,Rural,N
LP100354,Female,No,1,Graduate,Yes,12504,729,106,360,1.0,Urban,Y
LP100355,Male,Yes,2,Graduate,No,6350,2163,287,180,1.0,Urban,Y
LP100356,Male,No,2,Not Graduate,No,13600,949,98,180,1.0,Urban,Y
LP100357,Male,No,2,Not Graduate,No,13510,761,240,300,1.0,Semiurban,Y
LP100358,Female,No,2,Not Graduate,No,14605,3454,135,180,1.0,Rural,Y
LP100359,Male,Yes,0,Not Graduate,No,14644,4660,274,240,1.0,Semiurban,Y
LP100360,Male,Yes,3+,Not Graduate,Yes,8238,3610,73,180,1.0,Semiurban,Y
LP100361,Male,Yes,2,Graduate,No,12341,5952,177,360,1.0,Rural,Y
LP100362,Female,Yes,0,Graduate,Yes,9783,6953,290,360,0.0,Urban,N
LP100363,Female,No,1,Not Graduate,No,2324,4152,164,360,1.0,Urban,Y
LP100364,Male,No,3+,Not Graduate,Yes,9666,3662,211,180,0.0,Rural,N
LP100365,Male,Yes,3+,Not Graduate,Yes,10628,4498,50,180,1.0,Rural,Y
LP100366,Female,Yes,3+,Not Graduate,No,2389,6689,164,360,1.0,Rural,Y
LP100367,Female,No,3+,Graduate,Yes,13940,5397,163,180,1.0,Rural,Y
LP100368,Female,No,0,Graduate,Yes,9567,1150,259,180,1.0,Urban,Y
LP100369,Male,Yes,3+,Graduate,No,14302,1561,223,180,1.0,Urban,Y
LP100370,Male,No,3+,Graduate,No,1571,4344,74,360,0.0,Semiurban,N
LP100371,Male,Yes,1,Graduate,No,12272,4919,214,360,1.0,Rural,Y
LP100372,Male,No,3+,Not Graduate,No,8919,6592,118,240,1.0,Rural,Y
LP100373,Female,No,1,Graduate,Yes,11726,5852,198,300,0.0,Urban,N
LP100374,Male,No,0,Not Graduate,No,11048,4674,263,300,0.0,Semiurban,N
LP100375,Male,Yes,0,Not Graduate,Yes,2369,5490,78,240,1.0,Urban,Y
LP100376,Female,No,1,Graduate,No,4842,6173,327,180,1.0,Semiurban,Y
LP100377,Male,Yes,3+,Graduate,No,12853,5443,74,360,1.0,Rural,Y
LP100378,Female,Yes,0,Not Graduate,Yes,11667,7117,276,240,0.0,Rural,N
LP100379,Female,Yes,1,Not Graduate,No,4406,5592,88,240,0.0,Rural,N
LP100380,Male,No,0,Not Graduate,No,10619,2164,116,240,1.0,Semiurban,Y
LP100381,Male,No,3+,Graduate,Yes,4018,7607,215,180,1.0,Rural,Y
LP100382,Female,No,2,Graduate,No,10108,1801,144,180,1.0,Urban,Y
LP100383,Female,No,0,Not Graduate,Yes,4995,5434,219,300,1.0,Urban,Y
LP100384,Female,Yes,0,Not Graduate,No,5437,7409,174,180,1.0,Semiurban,Y
LP100385,Female,Yes,3+,Not Graduate,No,1904,7465,314,300,1.0,Rural,Y
LP100386,Female,No,0,Not Graduate,Yes,6748,4209,92,180,1.0,Rural,Y
LP100387,Male,Yes,1,Graduate,No,3202,1684,325,360,1.0,Urban,Y
LP100388,Male,Yes,3+,Not Graduate,Yes,2933,600,77,240,1.0,Rural,Y
LP100389,Male,Yes,2,Not Graduate,No,8891,5162,257,360,1.0,Semiurban,Y
LP100390,Male,Yes,0,Graduate,Yes,7360,7602,307,180,1.0,Rural,Y
LP100391,Female,Yes,2,Not Graduate,No,7973,6734,65,360,1.0,Urban,Y
LP100392,Male,No,2,Graduate,No,12596,7266,241,180,1.0,Rural,Y
LP100393,Male,Yes,0,Graduate,No,10300,4485,93,300,1.0,Rural,Y
LP100394,Female,Yes,3+,Graduate,Yes,4514,1808,179,240,1.0,Rural,Y
LP100395,Male,No,0,Not Graduate,Yes,5607,804,151,360,0.0,Semiurban,N
LP100396,Male,Yes,0,Not Graduate,Yes,4670,2603,298,360,1.0,Rural,Y
LP100397,Female,Yes,2,Not Graduate,No,4262,39,210,240,1.0,Rural,Y
LP100398,Female,No,2,Graduate,No,9363,3791,278,300,1.0,Semiurban,Y
LP100399,Male,Yes,0,Not Graduate,Yes,10324,1609,184,180,1.0,Urban,Y
LP100400,Male,No,1,Graduate,No,10404,7323,326,360,1.0,Urban,Y
LP100401,Female,No,1,Not Graduate,Yes,9113,4105,311,180,1.0,Rural,Y
LP100402,Male,Yes,1,Graduate,No,4108,1467,339,240,1.0,Semiurban,Y
LP100403,Female,Yes,1,Not Graduate,Yes,2529,2165,239,240,1.0,Urban,Y
LP100404,Female,No,3+,Not Graduate,Yes,2153,5312,215,180,1.0,Rural,Y
LP100405,Female,No,1,Not Graduate,No,7485,4814,89,300,1.0,Urban,Y
LP100406,Female,No,2,Not Graduate,No,11399,54,306,240,1.0,Urban,Y
LP100407,Male,No,1,Graduate,Yes,4078,2967,110,240,1.0,Semiurban,Y
LP100408,Male,No,3+,Not Graduate,Yes,11179,1320,260,180,1.0,Urban,Y
LP100409,Male,Yes,0,Graduate,Yes,4225,2115,142,360,1.0,Rural,Y
LP100410,Male,No,0,Graduate,No,11437,3861,296,240,1.0,Semiurban,Y
LP100411,Male,Yes,2,Graduate,No,8929,4886,85,240,1.0,Urban,Y
LP100412,Male,Yes,1,Not Graduate,Yes,11420,788,140,360,0.0,Rural,N
LP100413,Male,Yes,0,Not Graduate,Yes,11387,4417,50,360,1.0,Semiurban,Y
LP100414,Male,No,1,Not Graduate,No,7242,4825,344,180,1.0,Semiurban,Y
LP100415,Female,Yes,0,Not Graduate,No,5723,1548,52,180,1.0,Urban,Y
LP100416,Male,No,1,Not Graduate,No,7435,873,129,360,1.0,Semiurban,Y
LP100417,Female,No,2,Not Graduate,No,13869,1668,261,360,1.0,Rural,Y
LP100418,Female,No,2,Not Graduate,No,13555,1131,110,240,1.0,Rural,Y
LP100419,Male,Yes,1,Not Graduate,No,14621,4510,76,240,1.0,Rural,Y
LP100420,Male,Yes,1,Not Graduate,No,2944,524,184,240,1.0,Rural,Y
LP100421,Male,No,3+,Not Graduate,Yes,14174,6719,139,360,1.0,Urban,Y
LP100422,Female,Yes,0,Graduate,Yes,12543,295,234,240,1.0,Urban,Y
LP100423,Male,No,3+,Not Graduate,No,8142,4801,152,180,1.0,Urban,Y
LP100424,Male,No,2,Not Graduate,No,5207,4967,149,360,0.0,Rural,N
LP100425,Male,No,1,Not Graduate,Yes,10652,592,307,300,1.0,Urban,Y
LP100426,Female,No,3+,Not Graduate,No,14115,1992,223,360,1.0,Rural,Y
LP100427,Male,No,0,Not Graduate,Yes,7769,5190,162,240,0.0,Semiurban,N
LP100428,Female,Yes,2,Graduate,No,3023,3268,225,180,1.0,Urban,Y
LP100429,Female,No,2,Graduate,No,4494,7758,147,360,1.0,Urban,Y
LP100430,Male,No,1,Graduate,Yes,5591,6851,232,240,1.0,Urban,Y
LP100431,Male,No,0,Graduate,No,7581,5084,211,360,0.0,Rural,N
LP100432,Female,No,1,Not Graduate,No,5138,6145,345,240,1.0,Semiurban,Y
LP100433,Female,Yes,2,Not Graduate,Yes,8990,7999,111,360,1.0,Urban,Y
LP100434,Male,Yes,3+,Graduate,No,7424,5019,182,240,1.0,Urban,Y
LP100435,Female,No,2,Not Graduate,Yes,9671,3472,157,360,1.0,Semiurban,Y
LP100436,Female,No,2,Not Graduate,Yes,10861,1074,344,240,0.0,Rural,N
LP100437,Female,Yes,3+,Not Graduate,Yes,3889,6553,126,360,0.0,Urban,N
LP100438,Female,No,1,Not Graduate,No,6415,2055,337,180,1.0,Rural,Y
LP100439,Male,Yes,1,Not Graduate,No,11819,788,280,300,1.0,Semiurban,Y
LP100440,Female,No,0,Not Graduate,Yes,7252,7105,151,240,0.0,Semiurban,N
LP100441,Female,No,3+,Not Graduate,Yes,7743,5027,196,360,1.0,Urban,Y
LP100442,Male,No,3+,Not Graduate,Yes,2796,1327,225,240,1.0,Rural,Y
LP100443,Female,No,3+,Not Graduate,No,14295,7068,235,360,1.0,Urban,Y
LP100444,Male,Yes,1,Not Graduate,Yes,4950,1367,253,180,1.0,Semiurban,Y
LP100445,Male,Yes,3+,Graduate,Yes,5800,5063,129,180,1.0,Semiurban,Y
LP100446,Female,Yes,1,Not Graduate,No,11764,1035,117,240,1.0,Rural,Y
LP100447,Female,No,3+,Not Graduate,No,10487,3644,119,240,1.0,Semiurban,Y
LP100448,Female,No,2,Not Graduate,Yes,14684,733,276,300,1.0,Semiurban,Y
LP100449,Male,No,0,Graduate,Yes,7134,2349,290,180,1.0,Semiurban,Y
LP100450,Female,No,0,Not Graduate,No,11281,1894,53,300,1.0,Rural,Y
LP100451,Female,No,1,Graduate,No,7699,1807,184,180,1.0,Urban,Y
LP100452,Female,No,2,Not Graduate,Yes,2621,1494,119,300,1.0,Semiurban,Y
LP100453,Female,No,3+,Graduate,No,1817,1246,75,180,1.0,Urban,Y
LP100454,Female,No,1,Not Graduate,Yes,5314,738,127,180,1.0,Semiurban,Y
LP100455,Female,No,3+,Not Graduate,No,12918,6483,66,300,1.0,Urban,Y
LP100456,Male,No,3+,Graduate,No,4475,1574,178,360,0.0,Urban,N
LP100457,Male,No,3+,Graduate,Yes,4763,3775,98,240,1.0,Rural,Y
LP100458,Female,No,1,Graduate,Yes,5650,3942,202,240,1.0,Urban,Y
LP100459,Male,Yes,1,Not Graduate,No,1746,1371,191,180,1.0,Urban,Y
LP100460,Male,Yes,3+,Graduate,No,14128,733,177,240,1.0,Rural,Y
LP100461,Female,Yes,0,Not Graduate,Yes,12990,4393,104,240,1.0,Semiurban,Y
LP100462,Female,No,1,Graduate,No,7368,5934,118,300,0.0,Semiurban,N
LP100463,Female,No,3+,Graduate,Yes,10406,2848,215,360,1.0,Rural,Y
LP100464,Male,Yes,1,Not Graduate,No,14925,2157,327,300,1.0,Rural,Y
LP100465,Female,Yes,0,Not Graduate,Yes,6754,5906,82,360,1.0,Rural,Y
LP100466,Female,Yes,2,Not Graduate,No,12000,2638,106,180,1.0,Urban,Y
LP100467,Male,Yes,1,Graduate,Yes,3253,3976,148,180,1.0,Rural,Y
LP100468,Female,No,2,Graduate,No,5116,4963,86,180,0.0,Urban,N
LP100469,Female,Yes,3+,Graduate,No,10642,6090,262,300,1.0,Urban,Y
LP100470,Female,Yes,0,Not Graduate,Yes,5037,7869,315,180,1.0,Urban,Y
LP100471,Female,Yes,1,Graduate,Yes,10649,6137,335,360,1.0,Rural,Y
LP100472,Female,No,3+,Graduate,Yes,14483,1477,331,360,1.0,Rural,Y
LP100473,Male,No,2,Not Graduate,No,7590,3377,270,300,1.0,Rural,Y
LP100474,Male,No,2,Not Graduate,No,8831,7862,253,180,1.0,Semiurban,Y
LP100475,Male,Yes,2,Graduate,No,5135,1759,211,180,1.0,Rural,Y
LP100476,Female,Yes,0,Graduate,No,7327,1278,120,300,1.0,Rural,Y
LP100477,Male,Yes,2,Not Graduate,Yes,10846,3275,341,240,1.0,Rural,Y
LP100478,Female,No,1,Not Graduate,Yes,11252,5261,203,180,1.0,Rural,Y
LP100479,Female,Yes,0,Not Graduate,No,14888,3557,263,180,0.0,Urban,N
LP100480,Male,No,0,Not Graduate,Yes,6731,4423,339,240,1.0,Rural,Y
LP100481,Male,Yes,0,Not Graduate,No,13834,4875,344,180,1.0,Semiurban,Y
LP100482,Female,Yes,1,Not Graduate,Yes,9296,4681,75,360,1.0,Semiurban,Y
LP100483,Female,Yes,1,Not Graduate,Yes,9493,3238,342,240,1.0,Rural,Y
LP100484,Male,Yes,0,Not Graduate,No,6798,5609,344,180,1.0,Semiurban,Y
LP100485,Female,No,2,Graduate,No,7144,4865,62,300,1.0,Semiurban,Y
LP100486,Female,Yes,3+,Graduate,Yes,4771,5614,241,240,1.0,Urban,Y
LP100487,Male,Yes,1,Graduate,No,1725,2812,106,300,1.0,Urban,Y
LP100488,Female,Yes,1,Graduate,No,10491,3956,122,180,1.0,Rural,Y
LP100489,Male,No,1,Graduate,No,4788,6465,188,180,1.0,Urban,Y
LP100490,Male,No,2,Not Graduate,Yes,1812,2396,247,240,0.0,Rural,N
LP100491,Male,No,3+,Graduate,Yes,4758,4101,284,180,1.0,Rural,Y
LP100492,Female,No,3+,Not Graduate,Yes,1801,2840,230,300,1.0,Urban,Y
LP100493,Female,Yes,2,Not Graduate,Yes,10592,7775,193,240,1.0,Semiurban,Y
LP100494,Male,Yes,3+,Graduate,No,5438,4693,128,360,0.0,Rural,N
LP100495,Female,No,1,Graduate,Yes,11019,4434,153,240,1.0,Rural,Y
LP100496,Male,No,1,Graduate,No,2611,4565,322,180,1.0,Urban,Y
LP100497,Male,No,3+,Not Graduate,No,8758,6108,190,240,1.0,Urban,Y
LP100498,Male,Yes,0,Not Graduate,Yes,11270,1902,168,180,1.0,Rural,Y
LP100499,Female,Yes,3+,Not Graduate,Yes,7848,4025,292,240,1.0,Urban,Y
